,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
2247,BLDG22-2260,,4/11/2022,,COMMERCIAL,TENANT FINISH,10168 WADSWORTH PKWY #100,Change of Use,Charanjit Dhaliwal,EPRS:220411125412212
2253,BLDG22-2266,05/10/2022,4/11/2022,5/4/2022,COMMERCIAL,BUILDING,10456 TOWN CENTER DR,Remodel TJ Maxx,MURRAY WOODCRAFT INCOROPORATED,ECON:220411021246675
2290,BLDG22-2303,05/19/2022,4/12/2022,5/19/2022,COMMERCIAL,TENANT FINISH,1765 W 121ST AVE #300,TF for Innovative Land Consult...,BUCKEYE CONSTRUCTION INC.,ECON:220412034813018
2412,BLDG22-2425,10/13/2022,4/15/2022,10/13/2022,COMMERCIAL,BUILDING,3053 W 104TH AVE,Legacy Pointe Remodel,JACO GENERAL CONTRACTOR,ECON:220415040927653
2496,BLDG22-2510,04/25/2022,4/19/2022,4/25/2022,COMMERCIAL,SEWER REPAIR,3750 W 72ND AVE,Commercial Sewer Line Repair W...,Elite Rooter,ECON:220419125041421
2501,BLDG22-2515,,4/19/2022,,COMMERCIAL,BUILDING,10385 WESTMOOR DR #100,Remodel of a lab space for Gen...,HOWELL CONSTRUCTION,ECON:220419021204820
2590,BLDG22-2606,,4/22/2022,4/28/2022,COMMERCIAL,WATER REPAIR,801 W 120TH AVE,100' water irrigation line ins...,THE ELITE PIPE MD,ECON:220422113531584
2598,BLDG22-2614,,4/22/2022,,COMMERCIAL,TENANT FINISH,6400 W 92ND AVE,POS Walk-in Cooler and Freezer...,TBD,EPRS:220422015145487
2697,BLDG22-2713,04/28/2022,4/27/2022,4/28/2022,COMMERCIAL,ELECTRICAL,3949 W 72ND AVE,Emergency Repair of Electrical...,JESCO ELECTRIC LLC,ECON:220427110346426
2704,BLDG22-2720,,4/27/2022,,COMMERCIAL,TENANT FINISH,8860 WESTMINSTER BLVD,Interior remodel of an existin...,,EPRS:220427015749549
