,Permit..,Issued.Date,Applied,Approval,Permit.Type,Permit.Sub.Type,Address,Description,Contractor.Name,RECORDID
6445,BLDG22-6468,10/07/2022,10/7/2022,10/7/2022,COMMERCIAL,WATER REPAIR,8601 ZUNI ST BLDG CH,Domestic water line repair,MILE HIGH DRAIN CLEANING,ECON:221007012130449
6540,BLDG22-6563,04/18/2023,10/11/2022,8/30/2023,COMMERCIAL,BUILDING,14647 DELAWARE ST #670,INTERIOR RENOVATION for vanill...,MAXWELL BUILDERS INC,ECON:221011112646648
6541,BLDG22-6564,,10/11/2022,9/6/2023,COMMERCIAL,BUILDING,14647 DELAWARE ST #700,INTERIOR RENOVATION for future...,MAXWELL BUILDERS INC,ECON:221011114029892
6610,BLDG22-6633,01/26/2023,10/13/2022,11/22/2022,COMMERCIAL,TENANT FINISH,11225 DECATUR ST #101,TF for The Smile Suite Dental ...,HILL COMMERCIAL CONSTRUCTION L...,EPRS:221013094838567
6627,BLDG22-6650,06/07/2023,10/16/2022,11/30/2022,COMMERCIAL,TENANT FINISH,8920 WESTMINSTER BLVD,TF for Inks & Drinks - with re...,SUMMIT CUSTOM BUILDERS INC,EPRS:221016021339438
6769,BLDG22-6792,10/19/2022,10/18/2022,10/19/2022,COMMERCIAL,WATER REPAIR,581 W 123RD AVE BLDG CH,water line repair,RG Excavating Corp,ECON:221018083024563
6829,BLDG22-6852,02/27/2023,10/20/2022,12/6/2022,COMMERCIAL,TENANT FINISH,2741 W 120TH AVE #120,TF for Foothills Endodontics,SEVEN POINT CONSTRUCTION INC,EPRS:221020043416746
6841,BLDG22-6864,12/22/2022,10/21/2022,12/22/2022,COMMERCIAL,BUILDING,10339 FEDERAL BLVD #100,Remodel for Premier Members Cr...,THE NEENAN COMPANY LLLP,EPRS:221021035543437
6848,BLDG22-6871,03/10/2023,10/22/2022,3/9/2023,COMMERCIAL,TENANT FINISH,10443 TOWN CENTER DR #500,TF for Mochinut,MINH NGUYEN,EPRS:221022123106243
6866,BLDG22-6889,10/25/2022,10/24/2022,10/25/2022,COMMERCIAL,SEWER REPAIR,8364 SHERIDAN BLVD,Excavate and repair up to 60 f...,IQ Sewer Tech,ECON:221024123349198
6876,BLDG22-6899,02/28/2023,10/24/2022,2/28/2023,COMMERCIAL,TENANT FINISH,14458 DELAWARE ST #650,TF for Five Below Retail Store,,EPRS:221024032957772
6964,BLDG22-6987,,10/28/2022,,COMMERCIAL,TENANT FINISH,7237 CHURCH RANCH BLVD #406,"Install grilles, registers, di...","BRUCE MECHANICAL OF COLORADO, ...",ECON:221028125536262
6970,BLDG22-6993,02/13/2023,10/28/2022,2/10/2023,COMMERCIAL,TENANT FINISH,6850 FEDERAL BLVD,TF Add wholesale outlet center...,GE JOHNSON CONSTRUCTION CO,ECON:221028035251786
7067,BLDG22-7089,08/05/2023,11/4/2022,11/21/2022,COMMERCIAL,BUILDING,6980 STUART ST BLDG 3,Edgewood  Apts repair fire dam...,JOS CONSTRUCTION SOLUTIONS - B...,ECON:221104010708101
7071,BLDG22-7093,02/15/2023,11/4/2022,1/18/2023,COMMERCIAL,BUILDING,10055 WESTMOOR DR BLDG 1,Ball -Interior remodel of an e...,GE JOHNSON CONSTRUCTION CO,ECON:221104025750971
7095,BLDG22-7117,01/25/2023,11/7/2022,8/24/2023,COMMERCIAL,BUILDING,14583 ORCHARD PKWY #100,Interior Renovation for the sa...,THOMAS GRACE CONSTRUCTION INC,EPRS:221107031146915
7098,BLDG22-7120,01/24/2023,11/7/2022,1/24/2023,COMMERCIAL,TENANT FINISH,4650 W 120TH AVE #200,TF Gap 2 Gap Indoor batting ca...,SAGECOR CONSTRUCTION INC.,EPRS:221107071036690
7190,BLDG22-7212,,11/14/2022,,COMMERCIAL,PLUMBING,4860 W 120TH AVE,Remodel of existing bathrooms ...,ROYAL FLUSH PLUMBING & HEATING...,ECON:221114091319474
7247,BLDG22-7269,,11/15/2022,,COMMERCIAL,TENANT FINISH,14697 DELAWARE ST #1000,"install sinks, connect cooking...",911 ROOTER & PLUMBING,ECON:221115034102934
7262,BLDG22-7284,,11/15/2022,11/28/2022,COMMERCIAL,REROOF,9820 WESTCLIFF PKWY BLDG CH,Tear off section to repair dec...,"MARTINEZ ROOFING, INC",ECON:221115062535112
7283,BLDG22-7305,04/19/2023,11/16/2022,4/13/2023,COMMERCIAL,TENANT FINISH,8780 W 101ST AVE,"TF Mission Yogurt, Build offic...",A & B BUILDERS,EPRS:221116023442984
7325,BLDG22-7347,,11/18/2022,,COMMERCIAL,TENANT FINISH,6975 W 88TH AVE #A,test,CITY OF WESTMINSTER - PERMIT T...,ECON:221118043035760
7333,BLDG22-7355,12/28/2022,11/19/2022,12/28/2022,COMMERCIAL,BUILDING,9052 VANCE ST BLDG CH,Remodel existing Fitness Cente...,PROPAINT CONTRACTORS,EPRS:221119114156388
7336,BLDG22-7358,11/22/2022,11/21/2022,11/22/2022,COMMERCIAL,FIRELINE REPAIR,7701 SHERIDAN BLVD,Emergency 4 inch fire line rep...,PIPE X LLC,ECON:221121082511443
7411,BLDG22-7433,01/20/2023,11/23/2022,12/28/2022,COMMERCIAL,BUILDING,10038 WADSWORTH PKWY,RENOVATIONS TO UPDATE EXISTING...,"IPS RESOURCES, LLC",ECON:221123112142045
7412,BLDG22-7434,,11/23/2022,,COMMERCIAL,TENANT FINISH,1835 W 120TH AVE,HVAC,"CUSTOM HPACES, LLC / TIN-TECH ...",ECON:221123113520164
7450,BLDG22-7472,12/29/2022,11/29/2022,8/16/2023,COMMERCIAL,TENANT FINISH,10398 REED ST #200,Vivo Infusion - No changes. M ...,N/A,EPRS:221129073547642
7494,BLDG22-7516,07/06/2023,12/1/2022,4/13/2023,COMMERCIAL,TENANT FINISH,7131 IRVING ST #S,Cabin Studios - Adding breakro...,EARTH SAVING SOLUTIONS INC,EPRS:221201102724299
7509,BLDG22-7531,12/19/2022,12/1/2022,12/19/2022,COMMERCIAL,BUILDING,6850 FEDERAL BLVD,Goodwill - foundation repair p...,RAM JACK OF COLORADO,ECON:221201045157140
7516,BLDG22-7538,03/08/2023,12/2/2022,2/14/2023,COMMERCIAL,TENANT FINISH,8845 EATON ST,New offices for Sherman Associ...,TURN KEY GENERAL CONTRACTORS I...,ECON:221202112042989
7533,BLDG22-7555,03/10/2023,12/5/2022,3/9/2023,COMMERCIAL,BUILDING,1870 W 122ND AVE #200,Community reach remodel Suite ...,PMG COLORADO LLC,ECON:221205090745863
7540,BLDG22-7562,04/05/2023,12/5/2022,4/5/2023,COMMERCIAL,BUILDING,10393 REED ST,Renovation to kitchen and bar ...,Drury Development Corporation,EPRS:221205122718203
7574,BLDG22-7596,02/01/2023,12/7/2022,1/31/2023,COMMERCIAL,TENANT FINISH,8785 SHERIDAN BLVD,HotWorx Gym. Very simple build...,COMPLETE CONSTRUCTION COMMERCI...,ECON:221207090247476
7594,BLDG22-7616,12/08/2022,12/7/2022,12/8/2022,COMMERCIAL,BUILDING,8290 FEDERAL BLVD #219,Repairs from water loss.,PALACE CONSTRUCTION,EPRS:221207023445289
7658,BLDG22-7680,01/26/2023,12/12/2022,1/23/2023,COMMERCIAL,TENANT FINISH,11080 CIRCLE POINT RD #190,TF for Affordable Insurance Co,Ponderosa Construction Inc,ECON:221212035129232
7660,BLDG22-7682,,12/12/2022,4/25/2023,COMMERCIAL,TENANT FINISH,14694 ORCHARD PKWY #200,TF for Summit Design and Engin...,EDGEWATER CONSTRUCTION COMPANY...,EPRS:221212042355891
7661,BLDG22-7683,01/30/2023,12/12/2022,1/25/2023,COMMERCIAL,TENANT FINISH,14647 DELAWARE ST #1300,TF for Elevate Dance Center,JACKZ CONSTRUCTION dba SEIBEL ...,EPRS:221212053709982
7668,BLDG22-7690,,12/13/2022,,COMMERCIAL,TENANT FINISH,8815 EATON ST,TF for The Alley,SPARK DESIGN BUILD,EPRS:221213095640210
7744,BLDG22-7766,03/28/2023,12/19/2022,3/27/2023,COMMERCIAL,TENANT FINISH,3039 W 74TH AVE,TF for Calzamundo- Minimal whi...,RAYO ELECTRIC INC,ECON:221219015421629
7784,BLDG22-7806,03/27/2023,12/21/2022,1/24/2023,COMMERCIAL,TENANT FINISH,7243 FEDERAL BLVD #900,TF for Sarpino's Pizza,RAM CONSTRUCTION LLC,ECON:221221011304110
7787,BLDG22-7809,12/21/2022,12/21/2022,12/21/2022,COMMERCIAL,SEWER REPAIR,5028 W 92ND AVE,SPOT REPAIR ON THE SEWER SERVI...,DIG BOSS LLC,ECON:221221023105467
7888,BLDG23-0014,01/05/2023,1/3/2023,7/26/2023,COMMERCIAL,TENANT FINISH,9100 VANCE ST BLDG CH,New entry doors to be installe...,IKON CONSTRUCTION OF COLORADO,ECON:230103110217848
7915,BLDG23-0041,,1/4/2023,,COMMERCIAL,TENANT FINISH,12365 HURON ST #200,TF for Arias and Arpeggios Mus...,,EPRS:230104122519688
7954,BLDG23-0080,04/03/2023,1/6/2023,4/3/2023,COMMERCIAL,TENANT FINISH,14458 DELAWARE ST #600,TF for Party City,"BIG SKY CONSTRUCTION GROUP, LL...",ECON:230106094203363
7957,BLDG23-0083,,1/6/2023,1/10/2023,COMMERCIAL,SEWER REPAIR,10555 WESTMOOR DR,"Spot Repair 8"" service line.",L & M UNDERGROUND INC,ECON:230106103745290
7982,BLDG23-0108,05/17/2023,1/9/2023,5/17/2023,COMMERCIAL,TENANT FINISH,8765 WADSWORTH BLVD,Snarf's Sandwich Shop in Exist...,MILO CONSTRUCTION CORPORATION,EPRS:230109095644395
