Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2023-024312 PR,Residential ,0,Repair,1,0,None,0
2023-024694 PR,Residential ,0,Repair,1,0,None,0
2023-024889 PR,Residential ,0,Repair,1,0,None,0
2023-024419 PR,Residential ,0,Repair,1,0,None,0
2022-114471 PR,Residential ,22,Demolition,3,0,Historic Preservation,1
2022-115700 PR,Commericial ,149,Remodel,21,6,Building Plans - Electrical,3
2022-116013 PR,Residential ,0,Repair,1,0,None,0
2022-117040 PR,Residential ,0,Repair,1,0,None,0
2022-118132 PR,Residential ,86,Addition and Remodel,5,2,Residential Zoning Review,2
2022-118272 PR,Residential ,71,New,13,5,AE BSPA,4
2022-118534 PR,Residential ,33,New,15,6,Tech Master Review,2
2022-119786 PR,Residential ,0,Repair,1,0,None,0
2022-120272 PR,Commericial ,3,Remodel,4,0,Commercial Building Plans,1
2022-120407 PR,Residential ,0,Repair,1,0,None,0
2022-120450 PR,Residential ,0,Repair,1,0,None,0
2022-120998 PR,Residential ,85,Addition and Remodel,9,2,Fire Review,3
2022-121329 PR,Residential ,10,Addition and Remodel,3,0,Residential Zoning Review,1
2022-122363 PR,Residential ,0,Repair,1,0,None,0
2022-122534 PR,Residential ,22,Addition and Remodel,3,0,Residential Zoning Review,1
2022-123747 PR,Residential ,18,Addition and Remodel,4,0,Residential Zoning Review,1
2022-127869 PR,Commericial ,21,Remodel,13,1,AW Industrial Waste,2
2022-129482 PR,Residential ,0,Repair,1,0,None,0
2022-129870 PR,Residential ,8,Demolition,2,0,Tree Ordinance Review,1
2022-130534 PR,Residential ,0,Repair,1,0,None,0
2022-130642 PR,Residential ,0,Repair,1,0,None,0
2022-131540 PR,Commericial ,67,Remodel,5,1,Commercial Building Plans,2
2022-134203 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-134648 PR,Residential ,0,Repair,1,0,None,0
2022-135936 PR,Residential ,0,Repair,1,0,None,0
2022-139037 PR,Commericial ,146,New,17,4,Commercial Building Plans,2
2022-141145 PR,Residential ,96,Addition and Remodel,12,4,Residential Zoning Review,2
2022-141300 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-143291 PR,Residential ,0,Repair,1,0,None,0
2022-144462 PR,Residential ,34,New,14,6,Tech Master Review,2
2022-145706 PR,Residential ,0,Repair,1,0,None,0
2022-146510 PR,Residential ,0,Repair,1,0,None,0
2022-150594 PR,Residential ,0,Repair,1,0,None,0
2022-151734 PR,Residential ,0,Repair,1,0,None,0
2022-152689 PR,Residential ,0,Repair,1,0,None,0
2022-153889 PR,Residential ,0,Repair,1,0,None,0
2022-154631 PR,Residential ,0,Repair,1,0,None,0
2022-156161 PR,Residential ,0,Repair,1,0,None,0
2022-157624 PR,Residential ,0,Repair,1,0,None,0
2022-159304 PR,Residential ,0,Repair,1,0,None,0
2022-159391 PR,Residential ,51,Addition and Remodel,7,1,Fire Review,2
2022-159416 PR,Residential ,0,Repair,1,0,None,0
2022-160015 PR,Commericial ,79,Remodel,25,9,Building Plans - Electrical,3
2022-160301 PR,Residential ,48,New,16,7,Tech Master Review,2
2022-160589 PR,Residential ,0,Repair,1,0,None,0
2022-162532 PR,Residential ,0,Repair,1,0,None,0
2022-167162 PR,Residential ,14,Addition and Remodel,4,1,Residential Zoning Review,2
2022-168251 PR,Commericial ,0,Remodel,2,0,Commercial Zoning Review,1
2022-168320 PR,Residential ,35,Addition and Remodel,5,1,Tech Master Review,2
2022-169908 PR,Residential ,0,Repair,1,0,None,0
2022-170591 PR,Residential ,0,Repair,1,0,None,0
2022-171758 PR,Residential ,0,Repair,1,0,None,0
2022-171958 PR,Residential ,70,Addition and Remodel,7,2,Residential Zoning Review,2
2022-178157 PR,Residential ,5,Relocation,1,0,None,0
2022-178921 PR,Commericial ,18,Remodel,12,2,Commercial Building Plans,2
2022-183325 PR,Residential ,32,Addition and Remodel,5,2,Residential Zoning Review,2
2022-184567 PR,Residential ,35,Addition and Remodel,5,0,Residential Zoning Review,1
2023-001171 PR,Residential ,0,Repair,1,0,None,0
2023-002717 PR,Residential ,43,Demolition,3,0,Historic Preservation,1
2023-002868 PR,Residential ,0,Repair,1,0,None,0
2023-003402 PR,Commericial ,45,Remodel,19,8,Commercial Building Plans,2
2023-004375 PR,Commericial ,25,Remodel,11,1,Fire Review,2
2023-004414 PR,Residential ,0,Repair,1,0,None,0
2023-006843 PR,Residential ,37,New,6,1,AE BSPA,2
2023-007740 PR,Residential ,0,Repair,1,0,None,0
2023-011608 PR,Residential ,16,Addition and Remodel,5,0,Residential Zoning Review,1
2023-012874 PR,Residential ,13,Addition and Remodel,4,0,Residential Zoning Review,1
2023-013079 PR,Residential ,0,Repair,1,0,None,0
2023-014356 PR,Residential ,8,Repair,2,0,Flood Plain Review,1
2023-015145 PR,Residential ,0,Repair,1,0,None,0
2023-023765 PR,Residential ,0,Repair,1,0,None,0
2022-114290 PR,Commericial ,179,New,14,3,Commercial Building Plans,2
2022-114407 PR,Residential ,85,Demolition,4,1,Historic Preservation,2
2022-114446 PR,Residential ,0,Repair,1,0,None,0
2022-114756 PR,Residential ,111,New,15,6,AE BSPA,3
2022-114898 PR,Residential ,87,New,16,7,Tech Master Review,2
2022-115082 PR,Residential ,0,Repair,1,0,None,0
2022-115102 PR,Residential ,0,Repair,1,0,None,0
2022-115223 PR,Residential ,0,Repair,1,0,None,0
2022-115227 PR,Residential ,0,Repair,1,0,None,0
2022-115271 PR,Residential ,0,Repair,1,0,None,0
2022-115343 PR,Residential ,75,Addition and Remodel,8,2,Residential Zoning Review,2
2022-115367 PR,Residential ,15,Addition and Remodel,4,1,Tech Master Review,3
2022-115406 PR,Residential ,0,Repair,1,0,None,0
2022-115448 PR,Commericial ,23,Remodel,11,1,Building Plans - Mechanical,3
2022-115463 PR,Residential ,30,New,12,5,Tech Master Review,2
2022-115468 PR,Commericial ,51,Remodel,20,7,Commercial Building Plans,3
2022-115481 PR,Commericial ,20,Remodel,11,1,Commercial Zoning Review,4
2022-115522 PR,Residential ,28,New,12,5,Tech Master Review,2
2022-115573 PR,Residential ,19,Demolition,2,0,Tree Ordinance Review,1
2022-115589 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-115642 PR,Commericial ,71,Remodel,15,3,Building Plans - Plumbing,3
2022-115647 PR,Commericial ,48,Remodel,16,2,Building Plans - Electrical,3
2022-115693 PR,Residential ,112,New,5,2,Residential Zoning Review,2
2022-115715 PR,Residential ,6,Repair,2,0,Historic Preservation,1
2022-115806 PR,Residential ,0,Repair,1,0,None,0
2022-115811 PR,Residential ,0,Repair,1,0,None,0
2022-115991 PR,Residential ,0,Repair,1,0,None,0
2022-116034 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-116127 PR,Residential ,124,New,12,4,Tech Master Review,3
2022-116147 PR,Residential ,61,New,10,3,Residential Zoning Review,2
2022-116284 PR,Residential ,173,Addition and Remodel,10,3,Historic Preservation,3
2022-116404 PR,Residential ,0,Repair,1,0,None,0
2022-116409 PR,Residential ,0,Repair,1,0,None,0
2022-116410 PR,Residential ,91,New,14,6,Tech Master Review,2
2022-116419 PR,Residential ,0,Repair,1,0,None,0
2022-116533 PR,Residential ,5,Demolition,3,0,Historic Preservation,1
2022-116654 PR,Residential ,19,Demolition,2,0,Historic Preservation,1
2022-116677 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-116795 PR,Commericial ,35,Demolition,2,0,Historic Preservation,1
2022-116798 PR,Residential ,3,Demolition,1,0,None,0
2022-116926 PR,Residential ,95,New,10,3,Residential Zoning Review,3
2022-116927 PR,Residential ,12,Demolition,2,0,Historic Preservation,1
2022-117031 PR,Residential ,0,Repair,1,0,None,0
2022-117057 PR,Residential ,107,Addition and Remodel,5,2,Residential Zoning Review,2
2022-117081 PR,Residential ,0,Repair,1,0,None,0
2022-117101 PR,Commericial ,149,Remodel,19,4,Commercial Building Plans,4
2022-117108 PR,Residential ,0,Repair,1,0,None,0
2022-117123 PR,Residential ,11,Repair,2,0,Flood Plain Review,1
2022-117126 PR,Residential ,0,Repair,1,0,None,0
2022-117129 PR,Residential ,0,Repair,1,0,None,0
2022-117237 PR,Residential ,0,Repair,1,0,None,0
2022-117247 PR,Residential ,0,Repair,1,0,None,0
2022-117252 PR,Residential ,0,Repair,1,0,None,0
2022-117307 PR,Residential ,37,Addition and Remodel,4,1,Tech Master Review,2
2022-117315 PR,Residential ,107,New,8,3,AE BSPA,3
2022-117441 PR,Residential ,84,New,9,3,AE BSPA,3
2022-117465 PR,Residential ,136,New,13,5,Residential Zoning Review,3
2022-117566 PR,Commericial ,11,New,4,0,Commercial Building Plans,1
2022-117611 PR,Residential ,56,Demolition,4,1,Historic Preservation,3
2022-117647 PR,Residential ,25,Demolition,3,0,Historic Preservation,1
2022-117681 PR,Residential ,64,Addition and Remodel,6,2,Residential Zoning Review,2
2022-117702 PR,Commericial ,8,Remodel,4,0,Commercial Building Plans,1
2022-117782 PR,Residential ,148,Addition and Remodel,10,3,Fire Review,3
2022-117799 PR,Residential ,155,New,6,2,Residential Zoning Review,2
2022-117991 PR,Residential ,0,Repair,1,0,None,0
2022-118050 PR,Residential ,0,Repair,1,0,None,0
2022-118052 PR,Residential ,115,New,9,3,Residential Zoning Review,2
2022-118058 PR,Residential ,104,Addition and Remodel,12,4,Residential Zoning Review,3
2022-118067 PR,Commericial ,100,Remodel,33,10,Building Plans - Electrical,4
2022-118187 PR,Residential ,48,Demolition,4,1,Historic Preservation,2
2022-118192 PR,Residential ,0,Repair,1,0,None,0
2022-118222 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-118224 PR,Residential ,0,Repair,1,0,None,0
2022-118229 PR,Residential ,0,Repair,1,0,None,0
2022-118234 PR,Residential ,0,Repair,1,0,None,0
2022-118293 PR,Residential ,41,New,7,3,Residential Zoning Review,2
2022-118304 PR,Residential ,14,Addition and Remodel,3,0,Residential Zoning Review,1
2022-118312 PR,Residential ,52,New,5,1,Residential Zoning Review,2
2022-118361 PR,Residential ,0,Repair,1,0,None,0
2022-118369 PR,Residential ,0,Repair,1,0,None,0
2022-118372 PR,Residential ,0,Repair,1,0,None,0
2022-118387 PR,Commericial ,6,Remodel,4,0,Commercial Building Plans,1
2022-118390 PR,Commericial ,99,Addition and Remodel,23,6,Commercial Site Plan Review,3
2022-118392 PR,Residential ,0,Repair,1,0,None,0
2022-118457 PR,Residential ,57,New,18,7,AE BSPA,3
2022-118474 PR,Residential ,0,Repair,1,0,None,0
2022-118491 PR,Commericial ,6,Remodel,4,0,Commercial Building Plans,1
2022-118512 PR,Residential ,0,Repair,1,0,None,0
2022-118539 PR,Residential ,0,Repair,1,0,None,0
2022-118567 PR,Residential ,34,New,14,6,ATD SIF Review,3
2022-118587 PR,Residential ,0,Repair,1,0,None,0
2022-118614 PR,Residential ,13,Repair,2,0,Flood Plain Review,1
2022-118648 PR,Residential ,43,New,16,7,Tech Master Review,2
2022-118666 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-118744 PR,Residential ,69,Demolition,4,1,Historic Preservation,2
2022-118836 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-118992 PR,Residential ,125,Demolition,4,1,Tree Ordinance Review,2
2022-119056 PR,Residential ,8,Demolition,3,0,Historic Preservation,1
2022-119106 PR,Residential ,21,Demolition,3,0,Historic Preservation,1
2022-119116 PR,Residential ,0,Repair,1,0,None,0
2022-119137 PR,Commericial ,76,Remodel,18,6,Commercial Building Plans,2
2022-119250 PR,Residential ,12,Repair,2,0,Flood Plain Review,1
2022-119275 PR,Residential ,0,Repair,1,0,None,0
2022-119382 PR,Residential ,77,Addition and Remodel,14,6,Tech Master Review,2
2022-119392 PR,Residential ,11,Demolition,3,0,Historic Preservation,1
2022-119404 PR,Commericial ,195,New,20,6,Building Plans - Electrical,3
2022-119424 PR,Residential ,0,Repair,1,0,None,0
2022-119432 PR,Residential ,176,Addition and Remodel,10,3,Residential Zoning Review,2
2022-119491 PR,Residential ,152,Addition and Remodel,4,1,Residential Zoning Review,2
2022-119530 PR,Residential ,83,New,14,6,Tech Master Review,2
2022-119555 PR,Residential ,33,Demolition,3,0,Historic Preservation,1
2022-119567 PR,Residential ,155,Addition and Remodel,4,1,Residential Zoning Review,2
2022-119634 PR,Residential ,0,Repair,1,0,None,0
2022-119646 PR,Residential ,12,Repair,2,0,Flood Plain Review,1
2022-119651 PR,Residential ,2,Repair,1,0,None,0
2022-119742 PR,Residential ,122,Addition and Remodel,15,5,AW UDS TAP Plan Review,3
2022-119748 PR,Residential ,0,Repair,1,0,None,0
2022-119766 PR,Residential ,0,Repair,1,0,None,0
2022-119825 PR,Residential ,31,New,12,5,Tech Master Review,2
2022-119829 PR,Residential ,0,Repair,1,0,None,0
2022-119869 PR,Residential ,32,Demolition,4,1,Tree Ordinance Review,2
2022-119945 PR,Residential ,0,Repair,1,0,None,0
2022-120075 PR,Residential ,0,Repair,1,0,None,0
2022-120093 PR,Residential ,67,Addition and Remodel,11,4,Tree Ordinance Review,3
2022-120216 PR,Residential ,38,Addition and Remodel,8,1,AE BSPA,2
2022-120344 PR,Residential ,33,Addition and Remodel,2,0,Residential Zoning Review,1
2022-120391 PR,Residential ,0,Repair,1,0,None,0
2022-120398 PR,Residential ,0,Repair,1,0,None,0
2022-120409 PR,Residential ,9,Repair,2,0,Flood Plain Review,1
2022-120418 PR,Residential ,0,Repair,1,0,None,0
2022-120420 PR,Residential ,0,Repair,1,0,None,0
2022-120429 PR,Residential ,0,Repair,1,0,None,0
2022-120433 PR,Residential ,0,Repair,1,0,None,0
2022-120442 PR,Residential ,0,Repair,1,0,None,0
2022-120560 PR,Residential ,17,Addition and Remodel,3,0,Residential Zoning Review,1
2022-120739 PR,Residential ,43,Demolition,4,1,Historic Preservation,2
2022-120759 PR,Residential ,16,Demolition,2,0,Historic Preservation,1
2022-120886 PR,Commericial ,14,New,5,0,Commercial Building Plans,1
2022-120970 PR,Residential ,37,Addition and Remodel,4,1,Residential Zoning Review,2
2022-120971 PR,Residential ,79,New,18,8,Tech Master Review,2
2022-121031 PR,Residential ,79,Addition and Remodel,10,4,Residential Zoning Review,2
2022-121133 PR,Residential ,142,Addition and Remodel,7,3,Residential Zoning Review,3
2022-121279 PR,Residential ,0,Repair,1,0,None,0
2022-121312 PR,Residential ,23,Addition and Remodel,3,0,Residential Zoning Review,1
2022-121371 PR,Residential ,83,Addition and Remodel,12,5,Tech Master Review,2
2022-121411 PR,Residential ,63,New,15,6,Tech Master Review,2
2022-121436 PR,Commericial ,99,Remodel,12,2,Building Plans - Electrical,2
2022-121456 PR,Residential ,183,Addition and Remodel,12,5,Residential Zoning Review,2
2022-121605 PR,Residential ,15,Demolition,3,0,Historic Preservation,1
2022-121620 PR,Residential ,57,New,12,5,Residential Zoning Review,4
2022-121654 PR,Residential ,44,Addition and Remodel,5,1,Residential Zoning Review,2
2022-121661 PR,Residential ,140,Addition and Remodel,12,4,Residential Zoning Review,2
2022-121666 PR,Residential ,31,Addition and Remodel,5,0,Residential Zoning Review,1
2022-121677 PR,Residential ,2,Demolition,1,0,None,0
2022-121681 PR,Residential ,0,Repair,1,0,None,0
2022-121706 PR,Residential ,0,Repair,1,0,None,0
2022-121715 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-121726 PR,Residential ,0,Repair,1,0,None,0
2022-121768 PR,Residential ,52,New,8,2,Residential Zoning Review,2
2022-121775 PR,Residential ,0,Repair,1,0,None,0
2022-122040 PR,Residential ,0,Repair,1,0,None,0
2022-122050 PR,Residential ,22,Addition and Remodel,5,0,Residential Zoning Review,1
2022-122098 PR,Residential ,70,New,15,6,AE BSPA,3
2022-122116 PR,Residential ,42,New,4,1,Residential Zoning Review,2
2022-122127 PR,Residential ,47,New,6,0,Residential Zoning Review,1
2022-122143 PR,Residential ,0,Repair,1,0,None,0
2022-122146 PR,Residential ,83,Addition and Remodel,5,2,Residential Zoning Review,2
2022-122179 PR,Residential ,20,Relocation,2,0,Historic Preservation,1
2022-122195 PR,Residential ,6,Demolition,3,0,Historic Preservation,1
2022-122251 PR,Residential ,0,Repair,1,0,None,0
2022-122254 PR,Residential ,37,New,15,6,ATD SIF Review,3
2022-122333 PR,Commericial ,26,New,7,2,Commercial Building Plans,2
2022-122362 PR,Residential ,34,New,6,0,Residential Zoning Review,1
2022-122431 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-122438 PR,Commericial ,106,Remodel,19,5,Commercial Site Plan Review,4
2022-122502 PR,Residential ,8,Demolition,3,0,Historic Preservation,1
2022-122631 PR,Residential ,0,Repair,1,0,None,0
2022-122647 PR,Residential ,0,Repair,1,0,None,0
2022-122693 PR,Residential ,117,Addition and Remodel,6,2,Residential Zoning Review,2
2022-122706 PR,Residential ,40,Addition and Remodel,7,2,Residential Zoning Review,2
2022-122724 PR,Residential ,13,Demolition,3,0,Historic Preservation,1
2022-122729 PR,Residential ,0,Repair,1,0,None,0
2022-122762 PR,Residential ,0,Repair,1,0,None,0
2022-122787 PR,Residential ,13,Demolition,3,0,Historic Preservation,1
2022-122813 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-122874 PR,Residential ,0,Repair,1,0,None,0
2022-122901 PR,Residential ,0,Repair,1,0,None,0
2022-123102 PR,Residential ,81,Addition and Remodel,9,3,Residential Zoning Review,2
2022-123328 PR,Residential ,13,Repair,3,1,Flood Plain Review,2
2022-123331 PR,Residential ,0,Repair,1,0,None,0
2022-123432 PR,Residential ,4,Repair,2,0,Flood Plain Review,1
2022-123579 PR,Residential ,89,Demolition,4,1,Historic Preservation,2
2022-123602 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-123663 PR,Residential ,137,Addition and Remodel,9,3,Residential Zoning Review,2
2022-123735 PR,Residential ,181,Addition and Remodel,12,5,Historic Preservation,3
2022-123749 PR,Residential ,0,Repair,1,0,None,0
2022-123769 PR,Residential ,0,Repair,1,0,None,0
2022-123784 PR,Residential ,0,Repair,1,0,None,0
2022-123833 PR,Residential ,48,New,7,2,Residential Zoning Review,2
2022-123891 PR,Commericial ,11,Remodel,13,1,AW On Site Sewage Facility,2
2022-123991 PR,Residential ,0,Repair,1,0,None,0
2022-123996 PR,Residential ,0,Repair,1,0,None,0
2022-123998 PR,Commericial ,62,New,12,2,Commercial Building Plans,2
2022-124062 PR,Commericial ,4,New,4,0,Commercial Building Plans,1
2022-124066 PR,Residential ,64,New,7,3,Residential Zoning Review,2
2022-124124 PR,Residential ,0,Repair,1,0,None,0
2022-127914 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-127936 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-128564 PR,Commericial ,15,Demolition,2,0,Historic Preservation,1
2022-128636 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-128767 PR,Residential ,0,Repair,1,0,None,0
2022-128777 PR,Residential ,21,Demolition,2,1,Historic Preservation,2
2022-128822 PR,Residential ,8,Demolition,2,0,Historic Preservation,1
2022-128904 PR,Residential ,2,Demolition,3,0,Historic Preservation,1
2022-129035 PR,Residential ,168,New,16,7,Tech Master Review,2
2022-129212 PR,Residential ,69,Addition and Remodel,12,3,Residential Zoning Review,2
2022-129227 PR,Residential ,65,Demolition,4,1,Historic Preservation,2
2022-129259 PR,Residential ,110,New,7,3,Residential Zoning Review,2
2022-129297 PR,Residential ,65,Demolition,4,1,Historic Preservation,2
2022-129323 PR,Commericial ,21,Remodel,12,2,Commercial Building Plans,2
2022-129334 PR,Residential ,50,New,6,2,Residential Zoning Review,2
2022-129485 PR,Residential ,22,Demolition,3,0,Historic Preservation,1
2022-129536 PR,Commericial ,19,Remodel,11,2,Commercial Building Plans,2
2022-129538 PR,Commericial ,173,New,22,7,Fire Review,3
2022-129629 PR,Residential ,86,New,17,4,AE BSPA,5
2022-129632 PR,Residential ,0,Repair,1,0,None,0
2022-129651 PR,Residential ,0,Repair,1,0,None,0
2022-129657 PR,Residential ,0,Repair,1,0,None,0
2022-129668 PR,Residential ,0,Repair,1,0,None,0
2022-129676 PR,Residential ,0,Repair,1,0,None,0
2022-129684 PR,Residential ,0,Repair,1,0,None,0
2022-129700 PR,Residential ,1,Repair,1,0,None,0
2022-129714 PR,Residential ,0,Repair,1,0,None,0
2022-129754 PR,Residential ,0,Repair,1,0,None,0
2022-129759 PR,Residential ,0,Repair,1,0,None,0
2022-129792 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-129847 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-129882 PR,Residential ,0,Repair,1,0,None,0
2022-130014 PR,Residential ,34,New,12,5,Tech Master Review,2
2022-130079 PR,Residential ,0,Repair,1,0,None,0
2022-130098 PR,Residential ,0,Repair,1,0,None,0
2022-130128 PR,Residential ,0,Repair,1,0,None,0
2022-130202 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-130219 PR,Residential ,0,Repair,1,0,None,0
2022-130391 PR,Commericial ,87,Remodel,17,5,Commercial Building Plans,2
2022-130406 PR,Residential ,69,New,17,7,AE BSPA,3
2022-130429 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-130442 PR,Residential ,0,Repair,1,0,None,0
2022-130537 PR,Commericial ,80,Remodel,15,4,Commercial Building Plans,2
2022-130561 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-130564 PR,Residential ,0,Repair,1,0,None,0
2022-130572 PR,Commericial ,61,Remodel,5,2,Commercial Building Plans,2
2022-130661 PR,Residential ,0,Repair,1,0,None,0
2022-130685 PR,Residential ,0,Repair,1,0,None,0
2022-130720 PR,Residential ,4,Demolition,1,0,None,0
2022-130734 PR,Residential ,103,New,13,4,Residential Zoning Review,2
2022-130827 PR,Residential ,82,New,8,3,AE BSPA,3
2022-130828 PR,Residential ,60,Demolition,4,1,Historic Preservation,2
2022-130889 PR,Residential ,0,Repair,1,0,None,0
2022-130901 PR,Residential ,74,New,7,2,Residential Zoning Review,2
2022-130905 PR,Residential ,49,Addition and Remodel,6,2,Residential Zoning Review,2
2022-130934 PR,Residential ,55,Demolition,4,1,Historic Preservation,2
2022-131029 PR,Residential ,12,Demolition,2,0,Historic Preservation,1
2022-131104 PR,Commericial ,28,Remodel,11,1,Building Plans - Electrical,2
2022-131173 PR,Residential ,94,New,6,2,Tree Ordinance Review,2
2022-131240 PR,Residential ,0,Repair,1,0,None,0
2022-131264 PR,Residential ,0,Repair,1,0,None,0
2022-131610 PR,Residential ,39,Addition and Remodel,7,1,Residential Zoning Review,2
2022-131653 PR,Residential ,2,Relocation,2,0,Historic Preservation,1
2022-131674 PR,Residential ,10,Demolition,3,0,Historic Preservation,1
2022-131910 PR,Residential ,1,Repair,1,0,None,0
2022-131912 PR,Residential ,0,Repair,1,0,None,0
2022-131916 PR,Residential ,0,Repair,1,0,None,0
2022-132050 PR,Residential ,0,Repair,1,0,None,0
2022-132057 PR,Commericial ,76,Addition and Remodel,16,3,Building Plans - Electrical,2
2022-132127 PR,Residential ,37,Addition and Remodel,7,2,Tech Master Review,2
2022-132163 PR,Residential ,0,Repair,1,0,None,0
2022-132401 PR,Residential ,93,Addition and Remodel,6,2,Residential Zoning Review,2
2022-132457 PR,Residential ,91,Addition and Remodel,5,2,Residential Zoning Review,2
2022-132555 PR,Residential ,0,Repair,1,0,None,0
2022-132571 PR,Residential ,0,Repair,1,0,None,0
2022-132578 PR,Residential ,0,Repair,1,0,None,0
2022-132695 PR,Commericial ,44,Remodel,13,2,Commercial Building Plans,2
2022-132771 PR,Residential ,9,Addition and Remodel,3,0,Residential Zoning Review,1
2022-133106 PR,Residential ,77,Addition and Remodel,13,5,Residential Zoning Review,2
2022-133125 PR,Residential ,98,New,15,6,Tech Master Review,4
2022-133136 PR,Residential ,105,New,15,6,Tree Ordinance Review,3
2022-133195 PR,Residential ,153,New,17,7,AE BSPA,3
2022-133259 PR,Residential ,13,Demolition,3,0,Historic Preservation,1
2022-133260 PR,Residential ,0,Repair,1,0,None,0
2022-133279 PR,Residential ,9,Repair,2,0,Flood Plain Review,1
2022-133295 PR,Commericial ,36,Remodel,21,9,Building Plans - Mechanical,3
2022-133321 PR,Residential ,8,Repair,2,0,Flood Plain Review,1
2022-133342 PR,Commericial ,92,Remodel,18,5,Building Plans - Mechanical,3
2022-133400 PR,Residential ,12,Demolition,3,0,Historic Preservation,1
2022-133404 PR,Residential ,0,Repair,1,0,None,0
2022-133407 PR,Residential ,32,New,14,6,Tech Master Review,2
2022-133415 PR,Residential ,12,Demolition,3,0,Historic Preservation,1
2022-133443 PR,Residential ,0,Repair,1,0,None,0
2022-133504 PR,Residential ,63,New,6,1,Residential Zoning Review,2
2022-133532 PR,Residential ,166,New,8,2,Residential Zoning Review,2
2022-133573 PR,Residential ,25,Addition and Remodel,4,0,Residential Zoning Review,1
2022-133625 PR,Residential ,75,Addition and Remodel,9,3,Residential Zoning Review,2
2022-133634 PR,Residential ,53,New,5,1,Tree Ordinance Review,2
2022-133656 PR,Residential ,12,Demolition,3,0,Historic Preservation,1
2022-133975 PR,Residential ,176,Addition and Remodel,9,2,Residential Zoning Review,3
2022-134069 PR,Residential ,31,Addition and Remodel,10,4,Tech Master Review,2
2022-134072 PR,Residential ,53,New,14,6,Tech Master Review,2
2022-134079 PR,Residential ,0,Repair,1,0,None,0
2022-134115 PR,Residential ,0,Repair,1,0,None,0
2022-134238 PR,Residential ,88,Addition and Remodel,12,5,Residential Zoning Review,2
2022-134260 PR,Residential ,0,Repair,1,0,None,0
2022-134354 PR,Residential ,89,New,6,2,Residential Zoning Review,2
2022-134378 PR,Residential ,0,Repair,1,0,None,0
2022-134401 PR,Residential ,20,Addition and Remodel,4,0,Residential Zoning Review,1
2022-134491 PR,Residential ,0,Repair,1,0,None,0
2022-134499 PR,Residential ,0,Repair,1,0,None,0
2022-134512 PR,Residential ,59,Addition and Remodel,7,1,Tree Ordinance Review,2
2022-134655 PR,Commericial ,5,New,4,0,Commercial Building Plans,1
2022-134678 PR,Residential ,0,Repair,1,0,None,0
2022-134688 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-134694 PR,Residential ,7,Repair,2,0,Flood Plain Review,1
2022-134776 PR,Residential ,24,New,5,0,Residential Zoning Review,1
2022-134836 PR,Residential ,51,New,5,1,Tree Ordinance Review,2
2022-134838 PR,Residential ,24,New,4,0,Residential Zoning Review,1
2022-134920 PR,Residential ,72,New,11,2,Residential Zoning Review,2
2022-134948 PR,Commericial ,21,Remodel,4,0,Commercial Building Plans,1
2022-135011 PR,Commericial ,44,New,15,2,Building Plans - Electrical,2
2022-135075 PR,Residential ,0,Repair,1,0,None,0
2022-135085 PR,Residential ,0,Repair,1,0,None,0
2022-135134 PR,Residential ,0,Repair,1,0,None,0
2022-135258 PR,Residential ,0,Repair,1,0,None,0
2022-135284 PR,Residential ,77,Addition and Remodel,10,4,Residential Zoning Review,2
2022-135316 PR,Residential ,0,Repair,1,0,None,0
2022-135557 PR,Residential ,9,Demolition,3,0,Historic Preservation,1
2022-135638 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-135798 PR,Residential ,6,Repair,2,0,Flood Plain Review,1
2022-135833 PR,Residential ,21,New,7,0,Residential Zoning Review,1
2022-135894 PR,Residential ,0,Repair,1,0,None,0
2022-135913 PR,Residential ,41,New,12,5,Tech Master Review,2
2022-135923 PR,Residential ,57,New,13,5,Tech Master Review,2
2022-135925 PR,Residential ,0,Repair,1,0,None,0
2022-136212 PR,Residential ,8,Addition and Remodel,4,0,Residential Zoning Review,1
2022-136314 PR,Residential ,43,New,5,1,Tree Ordinance Review,2
2022-136364 PR,Residential ,61,New,14,6,Tech Master Review,2
