Permit Name,Res / Com,Duration,Work Type,Count of Reviews,Occurances of Repeat Reviews,Worst Review,WR Count
2022-114795 PR,Residential ,29,Addition and Remodel,10,4,Tech Master Review,2
2022-114814 PR,Residential ,50,New,14,6,Tech Master Review,2
2022-114931 PR,Commericial ,1,Remodel,4,0,Commercial Building Plans,1
2022-114985 PR,Residential ,63,New,6,2,Residential Zoning Review,2
2022-114989 PR,Residential ,13,Repair,2,0,Flood Plain Review,1
2022-114994 PR,Residential ,41,New,14,6,Tech Master Review,2
2022-115078 PR,Residential ,50,New,15,7,Tech Master Review,2
2022-115308 PR,Commericial ,168,Remodel,15,3,Structural Review,3
2022-115377 PR,Residential ,0,Repair,1,0,None,0
2022-115385 PR,Residential ,176,New,19,8,Flood Plain Review,3
2022-115391 PR,Commericial ,78,New,24,10,Commercial Zoning Review,4
2022-115458 PR,Residential ,208,Addition and Remodel,8,2,Residential Zoning Review,3
2022-115474 PR,Residential ,79,New,10,3,Tech Master Review,3
2022-115499 PR,Residential ,0,Repair,1,0,None,0
2022-115610 PR,Commericial ,34,Remodel,21,10,Building Plans - Mechanical,3
2022-115651 PR,Commericial ,57,Remodel,21,10,Building Plans - Electrical,2
2022-115657 PR,Residential ,0,Repair,1,0,None,0
2022-115849 PR,Residential ,0,Repair,1,0,None,0
2022-115857 PR,Residential ,19,Repair,2,0,Flood Plain Review,1
2022-115865 PR,Residential ,19,Repair,2,0,Flood Plain Review,1
2022-115879 PR,Residential ,0,Repair,1,0,None,0
2022-115931 PR,Residential ,0,Repair,1,0,None,0
2022-115944 PR,Residential ,19,Repair,2,0,Flood Plain Review,1
2022-115973 PR,Residential ,0,Repair,1,0,None,0
2022-116142 PR,Residential ,0,Repair,1,0,None,0
2022-116243 PR,Residential ,75,Demolition,4,1,Historic Preservation,2
2022-116253 PR,Residential ,62,Addition and Remodel,9,4,Tech Master Review,4
2022-116330 PR,Residential ,102,Addition and Remodel,8,2,Fire Review,3
2022-116413 PR,Residential ,0,Repair,1,0,None,0
2022-116436 PR,Residential ,0,Repair,1,0,None,0
2022-116470 PR,Residential ,18,Repair,2,0,Flood Plain Review,1
2022-116474 PR,Commericial ,15,Demolition,2,0,Historic Preservation,1
2022-116513 PR,Residential ,0,Repair,1,0,None,0
2022-116514 PR,Residential ,7,Demolition,3,0,Historic Preservation,1
2022-116550 PR,Commericial ,158,Addition and Remodel,33,10,Building Plans - Mechanical,4
2022-116558 PR,Residential ,5,Demolition,2,0,Historic Preservation,1
2022-116582 PR,Residential ,94,Addition and Remodel,11,4,Residential Zoning Review,2
2022-116606 PR,Residential ,0,Repair,1,0,None,0
2022-116662 PR,Residential ,18,Repair,2,0,Flood Plain Review,1
2022-116674 PR,Residential ,61,Addition and Remodel,8,2,Tech Master Review,2
