Work Type,Average Days Approved,Number of Projects
ALL WORK,26.8,3992
Repair,1.3,1499
Demolition,17.6,363
Remodel,35.7,772
Addition and Remodel,58.7,457
New,49.1,888
Relocation,21.0,9
Addition,89.0,1
Shell,72.3,3
